date,open,high,low,close,volume,amount,outstanding_share,turnover
2026-03-02,12581.86,12642.6,12466.11,12496.04,3545386.0,5115063511.0,1252270215.0,0.0028311669139236056
2026-03-03,12495.96,12606.76,12340.03,12375.26,4589086.0,6565381648.0,1252270215.0,0.0036646132320571085
2026-03-04,12278.16,12347.58,12079.37,12158.24,4801443.0,6743267103.0,1252270215.0,0.0038341908499356907
2026-03-05,12200.07,12260.46,12104.62,12139.67,3050524.0,4276226062.0,1252270215.0,0.0024359950140633185
2026-03-06,12104.62,12213.08,12043.88,12165.36,2915415.0,4072328833.0,1252270215.0,0.0023281037631323045
2026-03-09,12061.23,12190.52,12002.23,12121.97,3744162.0,5220095639.0,1252270215.0,0.0029898994283753685
2026-03-10,12190.52,12230.35,12130.65,12164.32,2462592.0,3457808916.0,1252270215.0,0.0019665020939590105
2026-03-11,12173.95,12199.98,12130.82,12148.0,2445673.0,3425363892.0,1252270215.0,0.0019529914316456054
2026-03-12,12104.62,12182.28,12070.0,12078.59,2758646.0,3850521717.0,1252270215.0,0.0022029159257772493
2026-03-13,12082.75,12300.89,12078.59,12266.36,3360783.0,4738808558.0,1252270215.0,0.0026837522443189307
2026-03-16,12321.55,12720.7,12321.55,12670.19,6008635.0,8711525836.0,1252270215.0,0.004798193655033151
2026-03-17,12738.05,12998.97,12678.96,12885.56,4945361.0,7347310632.0,1252270215.0,0.003949116525142299
2026-03-18,12920.27,12985.35,12695.97,12744.99,3555100.0,5239992522.0,1252270215.0,0.0028389240256744427
2026-03-19,12781.09,12781.44,12547.15,12606.76,3031859.0,4404953481.0,1252270215.0,0.0024210900839799977
2026-03-20,12607.55,12690.33,12486.41,12538.48,2613234.0,3782818260.0,1252270215.0,0.0020867972173242177
2026-03-23,12437.21,12451.7,12148.26,12218.03,4725589.0,6669708665.0,1252270215.0,0.003773617661264905
2026-03-24,12286.84,12300.63,12149.57,12211.61,2856179.0,4017694387.0,1252270215.0,0.0022808008733163072
2026-03-25,12235.73,12303.06,12156.77,12237.12,2609346.0,3677905549.0,1252270215.0,0.0020836924561046114
2026-03-26,12226.1,12268.62,12150.61,12158.24,2309289.0,3243387502.0,1252270215.0,0.0018440820298516803
2026-03-27,12148.0,12373.61,12119.02,12287.01,3008711.0,4257499781.0,1252270215.0,0.0024026052556077124
